cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-088	プリズンドラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	4	4	竜族		"
【守護】

これは相手を攻撃できない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-088
BP01-089	灼熱の嵐	ドラゴン		ブースターパック第1弾「創世の夜明け」	スペル	SR	5			竜族		"
フォロワーすべてに5ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-089
BP01-090	竜の怒り	ドラゴン		ブースターパック第1弾「創世の夜明け」	スペル	SR	3			竜族		"
クイック

相手のフォロワー1体を選ぶ。それに5ダメージ。【覚醒】状態なら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-090
BP01-091	竜化の塔	ドラゴン		ブースターパック第1弾「創世の夜明け」	アミュレット	SR	6			ドラゴニュート		"
これがある限り、自分の『ドラゴン』すべては【突進】を持つ。

起動これをアクト：フォロワー1体を選ぶ。それを破壊する。それのプレイヤーは『ドラゴン』1体を出す。

―――――――――――――――

『ドラゴン』ドラゴン竜族・フォロワーコスト4攻撃力5/体力5
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-091
BP01-092	アイボリードラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	1	1	竜族		"
進化コスト0：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-092
BP01-093	アイボリードラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		2	2	竜族		"
【進化時】【覚醒】状態なら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-093
BP01-094	ファイアーリザード	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	3	2	竜族		"
ファンファーレ相手のリーダー1人か相手のフォロワー1体を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-094
BP01-095	エースドラグーン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	0	2	竜使い		"
【突進】

ファンファーレ他のフォロワー1体を選ぶ。これは攻撃力+Xする。Xは「選んだフォロワーの攻撃力」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-095
BP01-096	ミストドラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	4	4	4	竜族		"
【威圧】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-096
BP01-097	ドレッドドラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	7	7	7	竜族		"
ファンファーレ相手のフォロワー1体を選ぶ。それに7ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-097
BP01-098	ブレイジングブレス	ドラゴン		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			竜族		"
クイック

相手のフォロワー1体を選ぶ。それに2ダメージ。【覚醒】状態なら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-098
BP01-099	竜の翼	ドラゴン		ブースターパック第1弾「創世の夜明け」	スペル	BR	3			竜族		"
フォロワーすべてに2ダメージ。【覚醒】状態なら、代わりに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-099
BP01-100	竜の伝令	ドラゴン		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			竜族		"
自分のデッキの上5枚を見る。その中から、コスト5以上のドラゴンカード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-100
BP01-LD07	ローウェン	ドラゴン		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD07
BP01-LD08	大望の竜牙・ジルニトラ	ドラゴン		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD08
BP01-T11	ドラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	4	5	5	竜族					https://shadowverse-evolve.com/cardlist/?cardno=BP01-T11
BP02-052	インペリアルドラグーン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	8	6	6	竜使い		"
進化コスト1：これは進化する。

ファンファーレ相手のリーダーすべてと相手のフォロワーすべてに「自分の手札の枚数」と同じダメージ。自分の手札すべてを捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-052
BP02-053	インペリアルドラグーン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		7	7	竜使い		"
【進化時】3枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-053
BP02-054	竜呼びの笛	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	アミュレット	LG	1			竜使い		"
これを自分の手札から捨てたとき、『ヘルフレイムドラゴン』1枚をEXエリアに置く。

----------

ファンファーレコスト3：『ヘルフレイムドラゴン』1体を出す。1枚引く。

起動これをアクト手札1枚を捨てる：『ヘルフレイムドラゴン』1枚をEXエリアに置く。この能力は【覚醒】状態なら使える。

―――――――――――――――

『ヘルフレイムドラゴン』ドラゴン竜族・フォロワーコスト2攻撃力4/体力3【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-054
BP02-055	ネプチューン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	5	4	4	竜使い・海洋		"
進化コスト2：これは進化する。

【守護】

これがいる限り、自分の『オルカ』すべては【突進】を持つ。

ファンファーレ『オルカ』1体を出す。

―――――――――――――――

『オルカ』ドラゴン海洋・フォロワーコスト2攻撃力2/体力2
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-055
BP02-056	ネプチューン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		5	5	竜使い・海洋		"
【守護】

これがいる限り、自分の『オルカ』すべては【疾走】を持つ。

【進化時】『オルカ』1体を出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-056
BP02-057	竜の闘気	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	スペル	GR	5			ドラゴニュート		"
自分のPP最大値を+1する。自分のリーダーは体力+3する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-057
BP02-058	連なる咆哮	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	アミュレット	GR	5			竜族		"
自分のターンごとに1回、自分の場に『ドラゴン』が出たとき、相手のリーダー1人か相手のフォロワー1体を選ぶ。それに5ダメージ。

―――――――――――――――

『ドラゴン』ドラゴン竜族・フォロワーコスト4攻撃力5/体力5
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-058
BP02-059	ジークフリート	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	4	3	3	竜族・キラー		"
進化コスト1：これは進化する。

ファンファーレ相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-059
BP02-060	ジークフリート	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		3	3	竜族・キラー		"
【進化時】体力3以下の相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-060
BP02-061	変異の巨竜	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	4	5	5	竜族		"
ファンファーレEXエリアのカード1枚を選ぶ。それは『ドラゴン』に変身する。

―――――――――――――――

『ドラゴン』ドラゴン竜族・フォロワーコスト4攻撃力5/体力5
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-061
BP02-062	竜巫女の儀式	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	アミュレット	SR	3			竜使い		"
自分のエンドフェイズが来たとき、このターン中に自分の手札を捨てていたなら、相手のリーダー1人か相手のフォロワー1体を選ぶ。それに2ダメージ。

ファンファーレ手札1枚を捨てる：自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-062
BP02-063	荒牙の竜少女	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	4	3	ドラゴニュート		"
これをプレイする際、このターン中に自分の手札を捨てていたなら、コストを-2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-063
BP02-064	ムシュフシュ	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	3	竜族		"
自分のフォロワーが進化したとき、これは攻撃力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-064
BP02-065	ドラゴンテイマー	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	2	竜使い		"
進化コスト1：これは進化する。

ファンファーレ1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-065
BP02-066	ドラゴンテイマー	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		3	3	竜使い		"
【進化時】手札1枚を捨てる：自分の墓場の竜族・フォロワー1枚を選ぶ。それを手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-066
BP02-067	ツインヘッドドラゴン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	4	2	5	竜族		"
これが与える「リーダーへの攻撃ダメージ」と「交戦ダメージ」を2倍にする。

ファンファーレコスト3：『ドラゴン』1体を出す。

―――――――――――――――

『ドラゴン』ドラゴン竜族・フォロワーコスト4攻撃力5/体力5
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-067
BP02-068	ドラゴニックアーマー	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	スペル	BR	1			竜族・武装		"
『ドラゴウェポン』1つを出す。【覚醒】状態なら、代わりに2つ。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-068
BP02-T05	オルカ	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・トークン	-	2	2	2	海洋					https://shadowverse-evolve.com/cardlist/?cardno=BP02-T05
BP02-T06	ヘルフレイムドラゴン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	フォロワー・トークン	-	2	4	3	竜族		"
【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-T06
BP02-T07	ドラゴウェポン	ドラゴン		ブースターパック第2弾「黒銀のバハムート」	アミュレット・トークン	-	1			武装		"
起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-T07
BP03-055	ジャバウォック	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	7	7	7	竜族・童話		"
ファンファーレ他のフォロワー1体を墓場に置く：自分のデッキの上を「墓場に置いたフォロワーよりコストの大きいフォロワー」が公開されるまで公開する。それを場に出す。残りをシャッフルし、デッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-055
BP03-056	レーヴァテインドラゴン	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	6	5	5	竜族・武装		"
進化コスト1：これは「カード名に『レーヴァテインドラゴン』を含むエボルヴフォロワー」に進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-056
BP03-057	レーヴァテインドラゴン	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		6	6	竜族・武装		"
【指定攻撃】

【進化時】『ドラゴウェポン』1つを出す。自分のPPを2回復する。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-057
BP03-058	レーヴァテインドラゴン・アタックモード	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		7	5	竜族・武装		"
これは『レーヴァテインドラゴン』でもある。

【攻撃時】相手のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-058
BP03-059	赤き猛竜	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	3	0	5	竜族・童話		"
起動これをアクト：これは攻撃力+5する。【覚醒】状態なら、代わりに攻撃力+10する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-059
BP03-060	ナックルドラゴン・ドラグニル	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	3	3	3	竜族・武装		"
進化コスト1：これは進化する。

ファンファーレ『ドラゴウェポン』1つを出す。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-060
BP03-061	ナックルドラゴン・ドラグニル	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		4	4	竜族・武装		"
【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。自分の場に他の武装・フォロワーがいるなら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-061
BP03-062	無謀なる戦	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	GR	6			童話		"
起動コスト3これをアクト：自分の手札のフォロワー1枚を場に出してよい。それは「自分のエンドフェイズが来たとき、これを破壊する」を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-062
BP03-063	竜技の達人	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	3	2	4	竜使い		"
【指定攻撃】【守護】

ファンファーレ【覚醒】状態なら、これは攻撃力+4して、【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-063
BP03-064	ハンマードラゴニュート	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	2	2	2	ドラゴニュート・竜族・武装		"
進化コスト1：これは進化する。

ファンファーレ自分のデッキの上4枚を見る。その中から、武装・スペル1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-064
BP03-065	ハンマードラゴニュート	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		3	3	ドラゴニュート・竜族・武装		"
【進化時】相手のリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-065
BP03-066	ドラゴンスマッシュ	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	SR	2			ドラゴニュート・竜族・武装		"
クイック

相手のフォロワー1体を選ぶ。それに3ダメージ。『ドラゴウェポン』1つを出す。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-066
BP03-067	大亀の長老	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	4	3	5	海洋		"
ファンファーレ自分のEPを+1する。【覚醒】状態なら、これは攻撃力+2/体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-067
BP03-068	トリニティドラゴン	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	3	2	竜族		"
【威圧】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-068
BP03-069	ドラゴサモナー	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	1	3	竜使い・ドラゴニュート		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-069
BP03-070	ドラゴサモナー	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		2	4	竜使い・ドラゴニュート		"
【進化時】自分のデッキの上3枚を見る。その中から、ドラゴンフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-070
BP03-071	ランスリザード	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	4	竜族・武装		"
自分のターンごとに1回、これが能力によって選ばれたとき、これは攻撃力+1する。相手のリーダーすべてに1ダメージ。

ファンファーレ【覚醒】状態なら、『ドラゴウェポン』1つを出す。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-071
BP03-072	アーマーパージ	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	BR	1			竜族・武装		"
自分の武装・フォロワー1体と相手のフォロワー1体を選ぶ。前者をEXエリアに置く。後者に3ダメージ。『ドラゴウェポン』1つを出す。

―――――――――――――――

『ドラゴウェポン』ドラゴン武装・アミュレットコスト1起動これをアクト墓場に置く：自分のドラゴンフォロワー1体を選ぶ。それは体力+1して、武装・タイプを持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-072
BP03-LD03	天竜ライト	ドラゴン		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP03-LD03
BP04-057	水竜神の巫女	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	LG	3	3	4	竜使い		"
自分のエンドフェイズが来たとき、自分のリーダーは体力+1する。【覚醒】状態なら、代わりに体力+2する。

ファンファーレ【覚醒】状態なら、これは攻撃力+1/体力+1する。自分のPP最大値を+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-057
BP04-058	紅の夜叉・カレン	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	LG	3	3	4	竜使い		"
自分のエンドフェイズが来たとき、自分のリーダーは体力+1する。【覚醒】状態なら、代わりに体力+2する。

ファンファーレ【覚醒】状態なら、これは攻撃力+1/体力+1する。自分のPP最大値を+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-058
BP04-059	ピュートーン	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	LG	6	6	7	竜族		"
進化コスト1：これは進化する。

ファンファーレ自分のデッキからカード10枚まで探し、消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-059
BP04-060	ピュートーン	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		8	9	竜族		"
【進化時】自分のデッキからカード10枚まで探し、消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-060
BP04-061	レーヴァテインドラゴン・ディフェンスモード	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		5	7	竜族・武装		"
これは『レーヴァテインドラゴン』でもある。

【守護】

これが受けるダメージを-1する。

自分のエンドフェイズが来たとき、自分のリーダーは体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-061
BP04-062	レーヴァテインドラゴン・ブラストモード	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		6	6	竜族・武装		"
これは『レーヴァテインドラゴン』でもある。

【威圧】

【進化時】相手のフォロワーすべてに「自分の場の武装・フォロワーの数」の2倍のダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-062
BP04-063	原初の竜使い	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	GR	3	1	5	竜使い		"
自分の場に他のコスト3以下のドラゴンフォロワーが出たとき、相手のフォロワー1体を選ぶ。それに2ダメージ。それのリーダーに1ダメージ。

ファンファーレ【覚醒】状態なら、これは攻撃力+1/体力+1して、【威圧】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-063
BP04-064	スターフェニックス	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	GR	3	2	2	不死鳥・星神		"
進化コスト1：これは進化する。

自分のターン中、自分がドラゴンスペルをプレイしたとき、コスト1：自分の墓場のこれを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-064
BP04-065	スターフェニックス	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	GR		4	4	不死鳥・星神		"
【攻撃時】相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-065
BP04-066	ライトニングブラスト	ドラゴン		ブースターパック第4弾「天星神話」	スペル	GR	5			竜族		"
クイック

これをプレイする際、コストを+5してよい。

相手のフォロワー1体を選ぶ。それを消滅させる。コストを+5したなら、それを消滅させる代わりに相手のフォロワーすべてを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-066
BP04-067	紅蓮の反逆	ドラゴン		ブースターパック第4弾「天星神話」	スペル	GR	5			竜族		"
クイック

これをプレイする際、コストを+5してよい。

相手のフォロワー1体を選ぶ。それを消滅させる。コストを+5したなら、それを消滅させる代わりに相手のフォロワーすべてを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-067
BP04-068	邪毒の紫竜	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	SR	4	6	7	竜族		"
自分のメインフェイズが来たとき、自分の手札1枚を捨てる。

ファンファーレ自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-068
BP04-069	ケートス	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	SR	5	5	5	海洋・星神		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-069
BP04-070	ケートス	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	SR		6	6	海洋・星神		"
【進化時】相手の場のコスト最小のフォロワーすべてを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-070
BP04-071	ドラゴニュートフィスト	ドラゴン		ブースターパック第4弾「天星神話」	スペル	SR	2			ドラゴニュート・竜族		"
これを自分の手札から捨てたとき、これをEXエリアに置いてよい。

----------

相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-071
BP04-072	神なる虎	ドラゴン		ブースターパック第4弾「天星神話」	スペル	SR	2			ドラゴニュート・竜族		"
これを自分の手札から捨てたとき、これをEXエリアに置いてよい。

----------

相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-072
BP04-073	竜を育む者・マチルダ	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	BR	1	1	2	竜使い		"
起動コスト1これをアクト墓場に置く：自分のデッキの上3枚を見る。その中から、コスト3以下のドラゴンフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-073
BP04-074	アクアネレイド	ドラゴン		ブースターパック第4弾「天星神話」	フォロワー	BR	2	0	1	海洋		"
【守護】

ファンファーレ『オルカ』1体を出す。【覚醒】状態なら、それは【疾走】を持つ。

―――――――――――――――

『オルカ』ドラゴン海洋・フォロワーコスト2攻撃力2/体力2
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-074
