cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-116	ソウルコンバージョン	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル	SR	1			死者		"
クイック

自分のフォロワー1体を選ぶ。それを破壊する。2枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-116
BP01-117	スケルトンファイター	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	2	2	死者		"
ファンファーレ【真紅】状態なら、これは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-117
BP01-118	蠢く死霊	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	2	1	死者		"
ファンファーレリーダーすべてに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-118
BP01-119	スペクター	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	1	死者		"
【必殺】

ファンファーレリーダーの体力-2：これは【突進】を持つ。自分のデッキの上1枚を墓場に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-119
BP01-120	スパルトイサージェント	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	3	死者		"
ファンファーレ自分のデッキの上2枚を墓場に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-120
BP01-121	ラビットネクロマンサー	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	3	3	死霊術師		"
ラストワードリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-121
BP01-122	ワードローブレイダー	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	3	3	魔界		"
進化コスト0：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-122
BP01-123	ワードローブレイダー	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		3	3	魔界		"
【進化時】フォロワー1体を墓場に置く：相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-123
BP01-124	アンデッドキング	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	6	6	6	死者		"
ファンファーレ自分の墓場のフォロワー2枚まで選ぶ。それを手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-124
BP01-125	鋭利な一裂き	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル	BR	2			魔界		"
クイック

自分のリーダーに2ダメージ。

相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-125
BP01-LD09	ルナ	ナイトメア		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD09
BP01-LD10	ユリアス	ナイトメア		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD10
BP01-T12	ミミ	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル・トークン	-	0			魔界		"
相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T12
BP01-T13	ココ	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル・トークン	-	0			魔界		"
自分のフォロワー1体を選ぶ。それは攻撃力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T13
BP01-T14	ゴースト	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	1	1	1	死者		"
【疾走】

自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T14
BP01-T15	フォレストバット	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	1	1	1	吸血鬼					https://shadowverse-evolve.com/cardlist/?cardno=BP01-T15
BP02-069	吸血姫・ヴァンピィ	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	2	2	2	吸血鬼・プリンセス		"
ファンファーレこれは攻撃力+X/体力+Xする。Xは「自分の場の『フォレストバット』の数」である。

起動コスト1『フォレストバット』1体を墓場に置く：相手のフォロワー1体を選ぶ。それに3ダメージ。それのリーダーに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-069
BP02-070	ラプラスの魔 ラプラス・ダークネス	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	2	2	2	吸血鬼・プリンセス		"
ファンファーレこれは攻撃力+X/体力+Xする。Xは「自分の場の『フォレストバット』の数」である。

起動コスト1『フォレストバット』1体を墓場に置く：相手のフォロワー1体を選ぶ。それに3ダメージ。それのリーダーに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-070
BP02-071	ソウルディーラー	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	4	6	5	魔界		"
進化コスト2：これは進化する。

【守護】

ファンファーレ自分のリーダーに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-071
BP02-072	ソウルディーラー	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		7	6	魔界		"
【守護】

【進化時】相手のフォロワー1体を選ぶ。それを破壊する。自分のリーダーは体力+Xする。Xは「選んだフォロワーの攻撃力」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-072
BP02-073	冥守の戦士・カムラ	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	5	5	5	死霊術師		"
【守護】

ラストワード相手のフォロワー1体を選ぶ。それを破壊する。自分のリーダーは体力+Xする。Xは「選んだフォロワーの攻撃力」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-073
BP02-074	アザゼル	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	7	6	6	魔界		"
これをプレイする際、【ネクロチャージ_10】コストを-3する。

進化コスト1：これは進化する。

【必殺】

ファンファーレ相手プレイヤーすべては、自身の手札をランダムに1枚捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-074
BP02-075	アザゼル	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		7	7	魔界		"
【必殺】

【進化時】相手のリーダーすべての体力を10にする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-075
BP02-076	吸血鬼の古城	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	アミュレット	GR	1			吸血鬼		"
ファンファーレ自分のデッキの上3枚を見る。その中から、吸血鬼・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。

起動コスト1これをアクト墓場に置く：『フォレストバット』1体を出す。

―――――――――――――――

『フォレストバット』ナイトメア吸血鬼・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-076
BP02-077	ラプラトン星	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	アミュレット	GR	1			吸血鬼		"
ファンファーレ自分のデッキの上3枚を見る。その中から、吸血鬼・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。

起動コスト1これをアクト墓場に置く：『フォレストバット』1体を出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-077
BP02-078	吸血貴・ヴァイト	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	2	2	2	吸血鬼		"
進化コスト1：これは進化する。

【攻撃時】『フォレストバット』1体を出す。

―――――――――――――――

『フォレストバット』ナイトメア吸血鬼・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-078
BP02-079	吸血貴・ヴァイト	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		3	3	吸血鬼		"
【攻撃時】『フォレストバット』1体を出す。

【進化時】『フォレストバット』1枚をEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-079
BP02-080	トリックデュラハン	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	2	3	2	死者		"
ファンファーレ『ゴースト』1枚をEXエリアに置く。【ネクロチャージ_10】代わりに3枚。

―――――――――――――――

『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-080
BP02-081	貴き血牙	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	スペル	SR	2			吸血鬼		"
下記から1つチョイスする。【1】『フォレストバット』を「相手の場のカードの枚数」と同じだけ出す。【2】自分の『フォレストバット』すべては攻撃力+1/体力+1する。

―――――――――――――――

『フォレストバット』ナイトメア吸血鬼・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-081
BP02-082	Yes My Dark	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	スペル	SR	2			吸血鬼		"
下記から1つチョイスする。【1】『フォレストバット』を「相手の場のカードの枚数」と同じだけ出す。【2】自分の『フォレストバット』すべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-082
BP02-083	ソウルミニデビル	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	3	2	魔界		"
自分のフォロワーが進化したとき、相手のリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-083
BP02-084	ジュエルデビル・モリアナ	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	3	4	魔界		"
ファンファーレ【真紅】状態なら、自分のリーダーは体力+3する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-084
BP02-085	享楽の悪魔	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	2	魔界		"
進化コスト1：これは進化する。

自分のエンドフェイズが来たとき、【真紅】状態なら、1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-085
BP02-086	享楽の悪魔	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		3	3	魔界		"
【攻撃時】リーダーすべてに1ダメージ。

自分のエンドフェイズが来たとき、【真紅】状態なら、1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-086
BP02-087	ボーンキマイラ	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	1	1	死者		"
【ネクロチャージ_7】これは【突進】【必殺】を持つ。

ファンファーレ自分のデッキの上3枚を墓場に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-087
BP02-088	ネクロカーニバル	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	スペル	BR	3			死者		"
下記から1つチョイスする。【ネクロチャージ_10】代わりに2つまで。

【1】自分の墓場のコスト2以下のフォロワー1枚を選ぶ。それを場に出す。【2】『ゴースト』2体を出す。

―――――――――――――――

『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-088
BP02-LD03	ラプラス・ダークネス	ナイトメア		ブースターパック第2弾「黒銀のバハムート」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP02-LD03
BP03-073	ダークアリス	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	6	6	6	魔界・童話		"
【突進】

【攻撃時】相手プレイヤーすべては、自身の手札1枚を捨てる。

ラストワードデッキの上10枚を消滅：これを場に出す。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-073
BP03-074	マスカレードゴースト	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	4	4	4	死者		"
進化コスト1：これは進化する。

自分の場に『ゴースト』が出たとき、それは攻撃力+1する。

―――――――――――――――

『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-074
BP03-075	マスカレードゴースト	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		5	5	死者		"
自分の場に『ゴースト』が出たとき、それは攻撃力+1する。

自分の『ゴースト』が場を離れたとき、『ジャイアントゴースト』1体を出す。

ラストワードこれをEXエリアに置く。

―――――――――――――――

『ジャイアントゴースト』ナイトメア死者・フォロワーコスト1攻撃力3/体力3【守護】自分のメインフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-075
BP03-076	ブラックスワン・オディール	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	5	6	4	童話		"
【攻撃時】相手のリーダーすべてと相手のフォロワーすべてに2ダメージ。

ファンファーレ相手のリーダーすべてと相手のフォロワーすべてに2ダメージ。【ネクロチャージ_20】これは【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-076
BP03-077	パンクデビル・デモニア	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	2	2	3	魔界		"
【守護】

ラストワード自分のリーダーは体力+2する。

起動リーダーの体力-2：これは【必殺】を持つ。この能力は1ターンに1回使える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-077
BP03-078	プチゴースト・バケルス	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	1	1	1	死者		"
これは『ゴースト』でもある。

進化コスト1：これは進化する。

ファンファーレ自分の場に『ジャイアントゴースト』がいるなら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-078
BP03-079	プチゴースト・バケルス	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		2	2	死者		"
これは『ゴースト』でもある。

ラストワードこれをEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-079
BP03-080	デモンコンダクター	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	2	1	1	魔界		"
起動リーダーの体力-2：1枚引く。この能力は1ターンに1回使える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-080
BP03-081	トロンボーンデビル	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	5	4	4	魔界		"
進化コスト1：これは進化する。

自分のエンドフェイズが来たとき、【真紅】状態なら、相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-081
BP03-082	トロンボーンデビル	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		5	5	魔界		"
自分のエンドフェイズが来たとき、【真紅】状態なら、相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。

【進化時】リーダーすべてに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-082
BP03-083	変装の牙	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	SR	1			獣・童話		"
自分のフォロワー1体を選ぶ。このターン、それは「【攻撃時】相手のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ」を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-083
BP03-084	パンプキンネクロマンサー	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	3	死者		"
ファンファーレ『ジャイアントゴースト』1枚をEXエリアに置く。

―――――――――――――――

『ジャイアントゴースト』ナイトメア死者・フォロワーコスト1攻撃力3/体力3【守護】自分のメインフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-084
BP03-085	パレードレイヴン	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	7	6	6	死者		"
ファンファーレ他のフォロワー1体を墓場に置く：自分の墓場のコスト5以下のフォロワー1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-085
BP03-086	ミスチーフゾンビ	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	2	2	死者		"
進化コスト2：これは進化する。

ファンファーレ手札1枚を捨てる：『ゴースト』1体を出す。死者・カードを捨てたなら、1枚引く。

―――――――――――――――

『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-086
BP03-087	ミスチーフゾンビ	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		3	3	死者		"
【進化時】自分の『ゴースト』1体を選ぶ。それは【必殺】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-087
BP03-088	悪魔の笛吹き	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	3	魔界		"
【突進】

ファンファーレ手札をランダムに1枚捨てる：これは攻撃力+1して、【ドレイン】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-088
BP03-089	邪悪なる指揮	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	BR	1			魔界		"
自分のリーダーに1ダメージ。このターン、次に自分がプレイしたフォロワーが場に出たとき、それは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-089
BP03-LD04	真壁スバル	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP03-LD04
BP03-T06	ジャイアントゴースト	ナイトメア		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・トークン	-	1	3	3	死者		"
【守護】

自分のメインフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-T06
BP04-079	毒牙の姫・メドゥーサ	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	LG	3	3	3	魔界・ゴルゴーン		"
起動コスト0：『毒蛇』1体を出す。この能力は1ターンに1回使える。

Q起動これをアクト『毒蛇』2体を墓場に置く：相手のフォロワー1体を選ぶ。それを破壊する。

―――――――――――――――

『毒蛇』ナイトメア魔界・フォロワーコスト1攻撃力0/体力1【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-079
BP04-080	ハウリングデーモン	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	LG	5	5	4	魔界・シンガー		"
進化コスト3：これは進化する。

ファンファーレ相手のフォロワー1体を選ぶ。それに4ダメージ。【真紅】状態なら、代わりに8ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-080
BP04-081	ハウリングデーモン	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		7	6	魔界・シンガー		"
【疾走】

【進化時】【真紅】状態なら、自分のリーダーは体力+5する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-081
BP04-082	魔将軍・ヘクター	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	GR	7	5	6	死者		"
これがいる限り、自分のナイトメアフォロワーすべては【突進】を持つ。

ファンファーレ【ネクロチャージ_10】自分の墓場のコスト2以下のナイトメアフォロワー2枚まで選ぶ。それを場に出す。自分の他のフォロワーすべては攻撃力+1/体力+1する。【NC_20】代わりに攻撃力+3/体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-082
BP04-083	黒の騎士団総司令・ルルーシュ	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	GR	7	5	6	死者		"
これがいる限り、自分のナイトメアフォロワーすべては【突進】を持つ。

ファンファーレ【ネクロチャージ_10】自分の墓場のコスト2以下のナイトメアフォロワー2枚まで選ぶ。それを場に出す。自分の他のフォロワーすべては攻撃力+1/体力+1する。【NC_20】代わりに攻撃力+3/体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-083
BP04-084	ステンノ	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	GR	5	3	4	魔界・ゴルゴーン		"
進化コスト1：これは進化する。

自分の場に『毒蛇』が出たとき、相手のフォロワー1体を選ぶ。それに2ダメージ。

ファンファーレ『毒蛇』1体を出す。

―――――――――――――――

『毒蛇』ナイトメア魔界・フォロワーコスト1攻撃力0/体力1【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-084
BP04-085	ステンノ	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	GR		4	5	魔界・ゴルゴーン		"
自分の場に『毒蛇』が出たとき、相手のフォロワー1体を選ぶ。それに2ダメージ。

【進化時】『毒蛇』1体を出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-085
BP04-086	ゴルゴーンの試練	ナイトメア		ブースターパック第4弾「天星神話」	スペル	GR	7			魔界・ゴルゴーン		"
自分のデッキから『毒牙の姫・メドゥーサ』1枚と『ステンノ』1枚と『エウリュアレー』1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-086
BP04-087	フェンリル	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	SR	4	3	5	魔界		"
進化コスト1：これは進化する。

自分のターン中、これがダメージを受けたとき、相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-087
BP04-088	フェンリル	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	SR		4	6	魔界		"
自分のターン中、これがダメージを受けたとき、相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-088
BP04-089	エウリュアレー	ナイトメア		ブースターパック第4弾「天星神話」	フォロワー	SR	2	2	2	魔界・ゴルゴーン		"
これがいる限り、自分の『毒牙の姫・メドゥーサ』『ステンノ』すべては【オーラ】を持つ。

ファンファーレ『毒蛇』1枚をEXエリアに置く。

―――――――――――――――

『毒蛇』ナイトメア魔界・フォロワーコスト1攻撃力0/体力1【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-089
