cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP02-040	マナリアドラコ・グレア	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	4	5	4	ドラゴニュート・学院		"
これをプレイする際、自分の場に『プリンセスマナリア・アン』がいるなら、コストを-2する。

起動これをアクト：相手のフォロワー1体を選ぶ。それに3ダメージ。自分の場に『プリンセスマナリア・アン』がいるなら、代わりに6ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-040
BP02-041	白霜の風	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	スペル	GR	2			魔法使い		"
クイック

相手の進化していないフォロワー1体を選ぶ。それを手札に戻す。【スペルチェイン_10】代わりにデッキの上に置く。（手札かデッキに戻ったトークンはゲームから取り除く）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-041
BP02-042	デュアルウィッチ・レミラミ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	3	3	3	魔法使い・錬金術師		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-042
BP02-043	デュアルウィッチ・レミラミ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		4	4	魔法使い・錬金術師		"
【進化時】『攻撃型ゴーレム』1体を出す。【土の秘術】それは攻撃力+2する。

―――――――――――――――

『攻撃型ゴーレム』ウィッチゴーレム・フォロワーコスト2攻撃力3/体力2【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-043
BP02-044	シャドウウィッチ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	5	5	5	魔法使い・錬金術師		"
ファンファーレ【土の秘術】相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-044
BP02-045	連続実験	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	スペル	SR	4			ゴーレム		"
下記から2つまでチョイスする。【スペルチェイン_10】代わりに3つまで。

【1】相手のフォロワー1体を選ぶ。それに3ダメージ。【2】『防御型ゴーレム』1体を出す。【3】1枚引く。

―――――――――――――――

『防御型ゴーレム』ウィッチゴーレム・フォロワーコスト2攻撃力2/体力3【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-045
BP02-046	マナリアウィザード・クレイグ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	1	魔法使い・学院		"
進化コスト1：これは進化する。

ファンファーレ1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-046
BP02-047	マナリアウィザード・クレイグ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		3	2	魔法使い・学院		"
【進化時】1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-047
BP02-048	グランドガーゴイル	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	3	4	ゴーレム		"
【守護】

ラストワード自分の場の【スタック】を+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-048
BP02-049	魔女の雷撃	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	スペル	BR	3			魔法使い		"
相手のフォロワー1体を選ぶ。それに5ダメージ。自分の場にエボルヴフォロワーがいるなら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-049
BP02-050	マジカルストラテジー	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	スペル	BR	1			魔法使い・チェス		"
『マジカルポーン』1体を出す。

―――――――――――――――

『マジカルポーン』ウィッチチェス・フォロワーコスト1攻撃力2/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-050
BP02-051	炎熱の術式	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	アミュレット	BR	2			土の印		"
【スタック】

ファンファーレ相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-051
BP02-T04	マジカルポーン	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・トークン	-	1	2	1	チェス					https://shadowverse-evolve.com/cardlist/?cardno=BP02-T04
BP03-038	オズの大魔女	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	6	4	6	魔法使い・童話		"
ファンファーレ『大地の魔片』1つを出す。自分の場の【スタック】を+1する。1枚引く。

Q起動【土の秘術】：このターン、次に自分がスペルをプレイする際、コストを-4する。この能力は1ターンに1回使える。

―――――――――――――――

『大地の魔片』ウィッチ土の印・アミュレットコスト1【スタック】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-038
BP03-039	ミスティックキング	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	6	5	5	チェス		"
進化コスト2：これは進化する。

起動他のチェス・フォロワー1体を墓場に置く：相手のフォロワー1体を選ぶ。それに5ダメージ。このターン、これの進化を除く起動能力を使えない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-039
BP03-040	ミスティックキング	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		6	6	チェス		"
【進化時】自分の墓場のコスト4以下のチェス・フォロワーをカード名が異なるように4枚まで選ぶ。それを場に出す。

起動他のチェス・フォロワー1体を墓場に置く：相手のフォロワー1体を選ぶ。それに5ダメージ。このターン、これの起動能力を使えない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-040
BP03-041	ルナルの魔術師・プリス	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	4	4	5	魔法使い・学院		"
ファンファーレ【土の秘術】これは【疾走】を持つ。

ファンファーレ【スペルチェイン_7】相手のフォロワーすべてに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-041
BP03-042	ミスティッククイーン・メイティ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	4	2	2	チェス		"
進化コスト1：これは進化する。

ファンファーレ『マジカルポーン』1体を出す。『マジカルポーン』1枚をEXエリアに置く。

―――――――――――――――

『マジカルポーン』ウィッチチェス・フォロワーコスト1攻撃力2/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-042
BP03-043	ミスティッククイーン・メイティ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		3	3	チェス		"
【進化時】相手のフォロワー1体を選ぶ。それに「自分の場のチェス・フォロワーの数」と同じダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-043
BP03-044	チェック	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	GR	3			チェス		"
相手のフォロワー1体を選ぶ。それに4ダメージ。自分のデッキの上3枚を見る。その中から「これと同名を除くチェス・カード」1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-044
BP03-045	闇魔法の教師・ハインライン	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	5	4	4	魔法使い・学院		"
ファンファーレ自分のデッキの上4枚を墓場に置く。自分のPPを「これによって墓場に置いたスペルの枚数」と同じだけ回復する。

起動これをアクト手札のスペル1枚を捨てる：相手のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-045
BP03-046	マジカルナイト	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	3	3	3	チェス		"
進化コスト1：これは進化する。

自分の場に他のチェス・フォロワーが出たとき、それは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-046
BP03-047	マジカルナイト	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		4	4	チェス		"
自分の場に他のチェス・フォロワーが出たとき、それは攻撃力+1する。

【進化時】『マジカルポーン』1体を出す。

―――――――――――――――

『マジカルポーン』ウィッチチェス・フォロワーコスト1攻撃力2/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-047
BP03-048	お菓子の家	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	SR	1			土の印・童話		"
【スタック】

ファンファーレ自分のリーダーは体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-048
BP03-049	スイーツウィッチ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	2	2	魔法使い・童話		"
進化コスト0：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-049
BP03-050	スイーツウィッチ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		2	2	魔法使い・童話		"
【進化時】1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-050
BP03-051	マジカルルーク	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	1	2	2	チェス		"
ファンファーレ自分のEXエリアに『マジカルポーン』があるなら、これは体力+1して、【守護】を持つ。

―――――――――――――――

『マジカルポーン』ウィッチチェス・フォロワーコスト1攻撃力2/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-051
BP03-052	マジカルビショップ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	1	2	チェス		"
自分のエンドフェイズが来たとき、自分の場に他のチェス・フォロワーがいるなら、相手のリーダーすべてに1ダメージ。自分のリーダーは体力+1する。

ファンファーレ『マジカルポーン』1枚をEXエリアに置く。

―――――――――――――――

『マジカルポーン』ウィッチチェス・フォロワーコスト1攻撃力2/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-052
BP03-053	ブリッツ	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	BR	1			チェス		"
相手のフォロワー1体を選ぶ。それにXダメージ。Xは「自分の場の『マジカルポーン』の数+2」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-053
BP03-054	魔女の大釜	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	BR	1			魔法使い・土の印		"
【スタック】

ファンファーレ自分のデッキの上4枚を見る。その中から、【土の秘術】を持つカード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-054
BP03-LD02	境界を超えし者・ドロシー	ウィッチ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP03-LD02
BP04-038	言霊遣い・ジンジャー	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	LG	7	4	4	魔法使い		"
進化コスト2：これは進化する。

ファンファーレ自分の手札のフォロワー1枚を場に出してよい。それのファンファーレ能力を使えない。このターン、それは相手を攻撃できない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-038
BP04-039	言霊遣い・ジンジャー	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		6	6	魔法使い		"
【進化時】自分の手札のフォロワーを好きな枚数場に出してよい。それのファンファーレ能力を使えない。このターン、それは相手を攻撃できない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-039
BP04-040	ギガントキマイラ	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	LG	7	7	7	魔法生物・禁忌		"
ファンファーレ【スペルチェイン_10】相手のリーダーすべてと相手のフォロワーすべてに5ダメージ。【SC_20】代わりに10ダメージ。【SC_30】代わりに30ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-040
BP04-041	星読みの魔女・ステラ	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	GR	3	3	3	魔法使い・星神		"
【攻撃時】自分のデッキの上1枚を見る。それを墓場に置いてよい。

ファンファーレ自分のデッキの上4枚を見る。その中から、1枚を手札に加える。1枚を墓場に置く。1枚をデッキの上に置く。1枚をデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-041
BP04-042	エウロペ	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	GR	2	1	3	魔法使い・星神		"
進化コスト2：これは進化する。

ファンファーレ自分のエボルヴデッキに表向きで置いた『エウロペ』1枚を選ぶ。それを裏向きにする。これは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-042
BP04-043	エウロペ	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	GR		3	5	魔法使い・星神		"
【疾走】【必殺】【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-043
BP04-044	コールチェイン	ウィッチ		ブースターパック第4弾「天星神話」	スペル	GR	2			魔法使い		"
クイック

自分のデッキの上5枚を見る。その中から、ウィッチフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【スペルチェイン_10】自分のPPを1回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-044
BP04-045	気高き先導	ウィッチ		ブースターパック第4弾「天星神話」	スペル	GR	2			魔法使い		"
クイック

自分のデッキの上5枚を見る。その中から、ウィッチフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【スペルチェイン_10】自分のPPを1回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-045
BP04-046	学院の新入生・ルゥ	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	SR	2	1	2	魔法使い・学院		"
ファンファーレ自分のデッキからコスト1のスペル1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-046
BP04-047	幻惑の奇術師	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	SR	2	2	2	魔法使い		"
進化コスト2：これは進化する。

ラストワード【土の秘術】これを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-047
BP04-048	幻惑の奇術師	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	SR		4	4	魔法使い		"
ラストワード【土の秘術】これを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-048
BP04-049	精神統一	ウィッチ		ブースターパック第4弾「天星神話」	スペル	SR	3			魔法使い		"
自分のリーダーは体力+3する。1枚引く。【土の秘術】代わりに2枚。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-049
BP04-050	忠義の発揮	ウィッチ		ブースターパック第4弾「天星神話」	スペル	SR	3			魔法使い		"
自分のリーダーは体力+3する。1枚引く。【土の秘術】代わりに2枚。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-050
BP04-051	キラキラヒーラー	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	BR	2	2	2	魔法使い		"
進化コスト1：これは進化する。

ファンファーレ自分の墓場にスペルがあるなら、自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-051
BP04-052	キラキラヒーラー	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	BR		3	3	魔法使い		"
【進化時】【スペルチェイン_5】自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-052
BP04-053	夜の魔術師	ウィッチ		ブースターパック第4弾「天星神話」	フォロワー	BR	3	3	3	魔法使い		"
【威圧】

ファンファーレ【土の秘術】これは攻撃力+2/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-053
