cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-179	エンジェルスナイプ	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			天使		"
クイック

相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-179
BP01-180	エンジェルバレッジ	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			天使		"
クイック

相手のフォロワーすべてに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-180
BP02-106	ダークエンジェル・オリヴィエ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	5	5	5	堕天使		"
ファンファーレ下記から2つまでチョイスする。【1】自分のEPを+1する。【2】自分のリーダーは体力+3する。【3】1枚引く。【4】相手プレイヤーすべては、自身の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-106
BP02-107	バハムート	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	9	9	9	大神・超克		"
進化コスト0：これは進化する。

相手の場のフォロワーが2体以上なら、これは相手のリーダーを攻撃できない。

ファンファーレ他のフォロワーすべてを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-107
BP02-108	バハムート	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		11	11	大神・超克		"
相手の場のフォロワーが2体以上なら、これは相手のリーダーを攻撃できない。

【進化時】アミュレットすべてを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-108
BP02-109	忌むべき悪魔の像	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	3	6	5	悪魔		"
ファンファーレ自分のリーダーに3ダメージ。自分の手札をランダムに1枚捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-109
BP02-110	アークエンジェル・レイナ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	4	4	5	天使		"
進化コスト1：これは進化する。

【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-110
BP02-111	アークエンジェル・レイナ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		5	6	天使		"
【守護】

【進化時】自分のPPを「自分のエボルヴデッキに表向きで置いたエボルヴフォロワーの枚数」と同じだけ回復する。それを裏向きにする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-111
BP02-112	烈火の魔弾	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	スペル	GR	2			傭兵		"
クイック

相手のフォロワー1体を選ぶ。それに3ダメージ。それがエボルヴフォロワーなら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-112
BP02-113	ユニコーンの踊り手・ユニコ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	2	2	2	光輝		"
進化コスト1：これは進化する。

【攻撃時】自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-113
BP02-114	ユニコーンの踊り手・ユニコ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		3	3	光輝		"
【攻撃時】自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-114
BP02-115	覇食帝・カイザ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	3	3	3	悪魔・コック		"
ファンファーレ元のコスト2以下の相手の場のフォロワー1体を選ぶ。それを破壊する。それのリーダーは体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-115
BP02-116	氷獄の呼び声	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	スペル	SR	6			魔王		"
クイック

相手のフォロワー1体を選ぶ。それを破壊する。自分のデッキからニュートラルフォロワー1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-116
BP02-117	ハンサ	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	0	3	光輝		"
ファンファーレ自分のデッキの上1枚を公開する。これは攻撃力+Xする。Xは「公開したカードのコスト」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-117
BP02-118	セクトール	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	2	傭兵		"
進化コスト3：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-118
BP02-119	セクトール	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		4	4	傭兵		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-119
BP02-120	死の舞踏	ニュートラル		ブースターパック第2弾「黒銀のバハムート」	スペル	BR	4			ダンサー		"
相手のフォロワー1体を選ぶ。それに5ダメージ。それのリーダーに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-120
BP03-107	不思議の探求者・アリス	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	3	3	3	童話		"
進化コスト1：これは進化する。

ファンファーレこれに童話カウンター1つを置く。

起動これの童話カウンター1つを取る：自分の場か自分のEXエリアの童話・フォロワー1枚を選ぶ。それに童話カウンター1つを置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-107
BP03-108	不思議の探求者・アリス	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		4	4	童話		"
【進化時】自分のデッキの上4枚を見る。その中から、童話・カード2枚までEXエリアに置いてよい。残りを好きな順にデッキの下に置く。

起動これの童話カウンター1つを取る：自分の場か自分のEXエリアの童話・フォロワー1枚を選ぶ。それに童話カウンター1つを置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-108
BP03-109	カオティックエンジェル	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	7	5	5	天使・堕天使		"
【守護】

起動墓場の堕天使・カード3枚を消滅：相手のフォロワー1体を選ぶ。それを奪い、スタンドする。この能力は1ターンに1回使える。（奪ったフォロワーは自分の場に移す。それが場を離れたとき、相手の領域に戻す）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-109
BP03-110	ラプンツェル	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	3	4	5	プリンセス・童話		"
【守護】

これに童話カウンターが置かれていないなら、これは相手を攻撃できない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-110
BP03-111	穢れし天兵	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	4	4	4	堕天使		"
ファンファーレ相手のリーダー1人か相手のフォロワー1体を選ぶ。それに2ダメージ。

ラストワード自分の墓場のコスト3以下の堕天使・カード1枚を選ぶ。それを手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-111
BP03-112	セラフィックレオ・ガルエル	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	4	2	3	天使・獣		"
進化コスト1：これは進化する。

ファンファーレ自分の手札のコストX以下のニュートラルフォロワー1枚を場に出してよい。Xは「自分のPP最大値」である。それは「自分のエンドフェイズが来たとき、これをデッキの下に置く」を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-112
BP03-113	セラフィックレオ・ガルエル	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		3	4	天使・獣		"
【進化時】自分の他のニュートラルフォロワー1体を選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-113
BP03-114	歌劇姫・フェリア	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	1	2	2	シンガー・童話・プリンセス		"
起動これをアクト：自分の他の童話・フォロワー1体を選ぶ。それに童話カウンター1つを置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-114
BP03-115	ハンプティダンプティ	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	3	3	3	童話		"
進化コスト0：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-115
BP03-116	ハンプティダンプティ	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		4	4	童話		"
【進化時】フォロワーすべてに5ダメージ。相手のリーダーすべてに3ダメージ。自分の手札すべてを捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-116
BP03-117	反転する翼	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	SR	1			天使・堕天使		"
下記から1つチョイスする。【1】手札の天使・フォロワー1枚を捨てる：相手のフォロワー1体を選ぶ。それを破壊する。【2】手札の堕天使・フォロワー1枚を捨てる：自分のリーダーは体力+3する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-117
BP03-118	漆黒の使徒	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	4	堕天使		"
起動これをアクト堕天使・フォロワー1体を墓場に置く：相手のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-118
BP03-119	暗黒の御使い	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	2	2	堕天使		"
進化コスト1：これは進化する。

ファンファーレ相手のフォロワー1体を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-119
BP03-120	暗黒の御使い	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		3	3	堕天使		"
【進化時】相手のリーダーすべてに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-120
BP03-121	卵の大爆発	ニュートラル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	BR	3			童話		"
フォロワーすべてと相手のリーダーすべてにXダメージ。Xは「自分の墓場の『卵の大爆発』『ハンプティダンプティ』の合計+1」である。（Xにこれは含めない）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-121
BP04-116	ゾディアックデーモン	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	LG	6	6	6	大神・星神		"
起動これをアクト手札のフォロワー1枚を捨てる：相手のフォロワー1体を選ぶ。それに「捨てたフォロワーのコスト」と同じダメージ。それのリーダーに「捨てたフォロワーのコストの半分（端数切り上げ）」と同じダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-116
BP04-117	イスラーフィール	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	LG	8	8	8	天使・大神		"
進化コスト1：これは進化する。

【攻撃時】相手のフォロワーすべてに3ダメージ。

ファンファーレ自分のリーダーは体力+4する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-117
BP04-118	イスラーフィール	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		10	10	天使・大神		"
【攻撃時】相手のフォロワーすべてに5ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-118
BP04-119	風の軍神・グリームニル	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	GR	3	3	4	光輝		"
進化コスト2：これは進化する。

【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-119
BP04-120	風の軍神・グリームニル	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	GR		5	6	光輝		"
【守護】

【進化時】コスト4：相手のリーダーすべてと相手のフォロワーすべてに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-120
BP04-121	癒しの奏者・アンリエット	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	GR	5	4	5	シンガー		"
ファンファーレアクト状態の自分のフォロワー1体を選ぶ。それは攻撃力+2/体力+2して、スタンドする。このターン、それは相手を攻撃できない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-121
BP04-122	天界への階段	ニュートラル		ブースターパック第4弾「天星神話」	アミュレット	GR	1			天使		"
自分のフォロワーが場から墓場に置かれたとき、これに魂カウンター1つを置く。

起動これをアクト墓場に置く：自分のデッキの上5枚を見る。その中から、フォロワー2枚まで公開して手札に加えてよい。残りを好きな順にデッキの下に置く。この能力はこれの魂カウンターが6つ以上なら使える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-122
BP04-123	純心の歌い手	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	SR	3	1	2	シンガー		"
ファンファーレラストワード1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-123
BP04-124	ゴブリンプリンセス	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	SR	3	2	1	ゴブリン・プリンセス		"
進化コスト1：これは進化する。

ファンファーレ自分のデッキからコスト1のニュートラルフォロワー1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-124
BP04-125	ゴブリンプリンセス	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	SR		3	2	ゴブリン・プリンセス		"
【進化時】『ゴブリンキング』1枚をEXエリアに置く。

―――――――――――――――

『ゴブリンキング』ニュートラルゴブリン・フォロワーコスト4攻撃力6/体力6【守護】ファンファーレ自分の他のゴブリン・フォロワーすべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-125
BP04-126	神秘の指輪	ニュートラル		ブースターパック第4弾「天星神話」	スペル	SR	1			光輝		"
クイック

自分の手札1枚をデッキの下に置く。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-126
BP04-127	オウルキャット	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	BR	2	2	2	獣		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-127
BP04-128	オウルキャット	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	BR		3	3	獣		"
【進化時】攻撃力1以下の相手のフォロワー1体か体力1の相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-128
BP04-129	ミスターフルムーン	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー	BR	5	3	3	光輝・星神		"
ファンファーレラストワード相手のフォロワー1体を選ぶ。それは攻撃力-3/体力-3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-129
BP04-130	天なる大河	ニュートラル		ブースターパック第4弾「天星神話」	アミュレット	BR	3			光輝・星神		"
起動これをアクト：自分のEXエリアにカードがないなら、自分のデッキの上1枚をEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-130
BP04-T02	ゴブリンキング	ニュートラル		ブースターパック第4弾「天星神話」	フォロワー・トークン	-	4	6	6	ゴブリン		"
【守護】

ファンファーレ自分の他のゴブリン・フォロワーすべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-T02
BP05-103	唯我の絶傑・マゼルベイン	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	LG	5	5	5	絶傑		"
進化コスト1：これは進化する。

【突進】

自分のエンドフェイズが来たとき、自分の手札が2枚以下なら、相手のリーダーすべてに3ダメージ。自分の手札が0枚なら、相手の場のフォロワーすべてに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-103
BP05-104	唯我の絶傑・マゼルベイン	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	LG		6	6	絶傑		"
自分のエンドフェイズが来たとき、これをスタンドする。自分の手札が2枚以下なら、相手のリーダーすべてに5ダメージ。自分の手札が0枚なら、相手の場のフォロワーすべてに5ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-104
BP05-105	飢餓の絶傑・ギルネリーゼ	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	LG	4	3	5	絶傑		"
【ドレイン】

自分がニュートラルカードをプレイしたとき、相手のリーダーすべてに1ダメージ。

ファンファーレコスト3：自分のデッキから『飢餓の使徒』1枚と『飢餓の輝き』1枚を探し、EXエリアに置く。

ファンファーレ自分と相手のPP最大値が10なら、3枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-105
BP05-106	飢餓の使徒	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	GR	3	2	2	絶傑		"
これをEXエリアからプレイする際、自分の場に『飢餓の絶傑・ギルネリーゼ』がいるなら、コストを-3する。

進化コスト1：これは進化する。

ファンファーレ自分の場の他のフォロワー1体を選ぶ。それは【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-106
BP05-107	飢餓の使徒	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	GR		3	3	絶傑		"
【進化時】場の他のフォロワー1体を選ぶ。それに3ダメージ。それは攻撃力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-107
BP05-108	神弓の座天使・リリエル	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	GR	3	2	5	天使		"
これがいる限り、自分のリーダーは能力によるダメージを受けない。

Q起動これをアクト：相手のリーダーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-108
BP05-109	爆砕の傭兵・フィーナ	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	GR	2	3	2	傭兵		"
ファンファーレ下記から1つチョイスする。【1】自分のデッキの上5枚を見る。その中から、元のコスト1のフォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【2】元のコスト1の相手の場のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-109
BP05-110	機構翼の少女・ローザ	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	SR	2	1	3	天使・超克		"
進化コスト1：これは進化する。

【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-110
BP05-111	機構翼の少女・ローザ	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	SR		2	4	天使・超克		"
【守護】

【進化時】1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-111
BP05-112	ミヒライテ	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	スペル	SR	1			絶傑		"
自分の場のフォロワー1体を選ぶ。それは攻撃力+1/体力+1する。それが『唯我の絶傑・マゼルベイン』なら、代わりに攻撃力+3/体力+3して、【指定攻撃】とこのターン、「これはダメージを受けない」を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-112
BP05-113	飢餓の輝き	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	スペル	SR	3			絶傑		"
クイック

これをEXエリアからプレイする際、自分の場に『飢餓の絶傑・ギルネリーゼ』がいるなら、コストを-3する。

相手の場のフォロワー1体を選ぶ。それに4ダメージ。自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-113
BP05-114	肉球砲の撃ち手	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	BR	3	3	3	傭兵・超克		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-114
BP05-115	肉球砲の撃ち手	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	BR		4	4	傭兵・超克		"
【進化時】『エンシェントアーティファクト』1体を出す。

―――――――――――――――

『エンシェントアーティファクト』ニュートラル超克・フォロワーコスト1攻撃力3/体力1【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-115
BP05-116	鋼鉄の壊し屋	ニュートラル		ブースターパック第5弾「永劫なる絶傑」	フォロワー	BR	2	2	3	傭兵・超克		"
ファンファーレEXエリアのカード1枚を消滅：相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-116
