cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP02-093	カグヤ	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		5	5	信仰		"
自分の場にアミュレットが出たとき、相手のフォロワー1体を選ぶ。それにXダメージ。Xは「出たアミュレットのコスト」である。

【進化時】『うたかたの月』1つを出す。自分のリーダーは体力+3する。

―――――――――――――――

『うたかたの月』ビショップ信仰・アミュレットコスト3これがある限り、自分のターン中、自分の『カグヤ』すべてはダメージを受けない。自分のメインフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-093
BP02-094	神魔裁判所	ビショップ		ブースターパック第2弾「黒銀のバハムート」	アミュレット	GR	5			信仰		"
ファンファーレ相手のフォロワー1体を選ぶ。それを破壊する。

起動これをアクト墓場に置く：1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-094
BP02-095	エイラの祈祷	ビショップ		ブースターパック第2弾「黒銀のバハムート」	アミュレット	GR	3			信仰		"
ターンごとに1回、自分のリーダーの体力を+したとき、自分のフォロワーすべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-095
BP02-096	レディアンスエンジェル	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	4	3	4	信仰		"
進化コスト1：これは進化する。

【守護】

ファンファーレ1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-096
BP02-097	レディアンスエンジェル	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		4	5	信仰		"
【守護】

【進化時】自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-097
BP02-098	サファイアプリースト	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	4	4	5	信仰		"
自分のエンドフェイズが来たとき、このターン中に自分のフォロワーが3回以上攻撃したなら、3枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-098
BP02-099	獣姫の呼び声	ビショップ		ブースターパック第2弾「黒銀のバハムート」	アミュレット	SR	3			信仰		"
ファンファーレ『ホーリーファルコン』1体を出す。

起動コスト2これをアクト墓場に置く：『ホーリータイガー』1体を出す。

―――――――――――――――

『ホーリーファルコン』ビショップ鳥族・フォロワーコスト3攻撃力2/体力2【疾走】

『ホーリータイガー』ビショップ獣・フォロワーコスト4攻撃力4/体力4【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-099
BP02-100	フロッグクレリック	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	2	信仰		"
ファンファーレ自分のリーダーは体力+2する。

起動コスト2：自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-100
BP02-101	スカイスピリット	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	3	3	信仰		"
ファンファーレこのターン中に場に出た自分の他のフォロワー1体を選ぶ。それは攻撃力+2/体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-101
BP02-102	ソウルコレクター	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	6	4	4	狂信		"
進化コスト1：これは進化する。

ファンファーレコスト4以下の相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-102
BP02-103	ソウルコレクター	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		5	5	狂信		"
【進化時】自分の墓場のビショップフォロワー1枚を選ぶ。それを手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-103
BP02-104	スレッジエクソシスト	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	4	3	信仰		"
ファンファーレコスト2：相手のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-104
BP02-105	エメラルドメイデン	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	3	4	信仰		"
【守護】

ファンファーレこれは体力+Xする。Xは「【守護】を持つ自分の他のフォロワーの数」である。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-105
BP02-T08	うたかたの月	ビショップ		ブースターパック第2弾「黒銀のバハムート」	アミュレット・トークン	-	3			信仰		"
これがある限り、自分のターン中、自分の『カグヤ』すべてはダメージを受けない。

自分のメインフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-T08
BP03-090	スノーホワイトプリンセス	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	2	2	2	信仰・童話・プリンセス		"
【守護】

ファンファーレこれが手札から場に出ていたなら、これに童話カウンター1つを置く。

ファンファーレこれが手札以外から場に出ていたなら、これは攻撃力+1/体力+1する。

ラストワードこれに童話カウンターが置かれていたなら、これをEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-090
BP03-091	ダイヤモンドマスター	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	4	2	5	信仰		"
進化コスト3：これは進化する。

相手プレイヤーは能力でこれを選べるとき、これを選ぶ。

ファンファーレ下記から1つチョイスする。【1】これは【疾走】を持つ。【2】これは【守護】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-091
BP03-092	ダイヤモンドマスター	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		4	7	信仰		"
相手プレイヤーは能力でこれを選べるとき、これを選ぶ。

【進化時】自分の墓場のコスト3以下の「【疾走】や【守護】を持つフォロワー」1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-092
BP03-093	ホワイトスワン・オデット	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	5	4	6	信仰・童話		"
ファンファーレ自分のリーダーと自分の他のフォロワーすべては体力+2する。

ラストワード自分のリーダーと自分のフォロワーすべては体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-093
BP03-094	ジェムストーン・ウィンギー	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	1	1	1	信仰・鳥族		"
進化コスト2：これは進化する。

【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-094
BP03-095	ジェムストーン・ウィンギー	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		2	2	信仰・鳥族		"
【守護】

【進化時】自分のデッキから攻撃力2以下のフォロワー1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-095
BP03-096	アリスの冒険	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	GR	2			童話		"
ファンファーレ自分のデッキから童話・カード1枚を探し、手札に加える。

起動コスト1これをアクト墓場に置く：自分の童話・フォロワー1体を選ぶ。それは【突進】【指定攻撃】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-096
BP03-097	ホワイトナイト	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	6	6	6	信仰		"
これをプレイする際、自分のリーダーの体力5以下なら、コストを-5する。

【突進】【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-097
BP03-098	ルビーファルコン	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	3	3	3	信仰・鳥族		"
進化コスト1：これは進化する。

【守護】

自分の他の「【疾走】や【守護】を持つフォロワー」が攻撃するとき、相手のリーダーすべてに1ダメージ。

起動コスト2：これは【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-098
BP03-099	ルビーファルコン	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		4	4	信仰・鳥族		"
【守護】

自分の他の「【疾走】や【守護】を持つフォロワー」が攻撃するとき、相手のリーダーすべてに1ダメージ。

【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。

起動コスト2：これは【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-099
BP03-100	三月ウサギのお茶会	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	SR	4			信仰・童話		"
ファンファーレ自分のデッキの上5枚を見る。その中から、コスト5以下の童話・フォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。

起動コスト2これをアクト墓場に置く：自分の墓場のコスト3以下の童話・フォロワー1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-100
BP03-101	ブリキの兵隊	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	4	偶像・童話		"
ファンファーレこれが手札以外から場に出ていたなら、これに童話カウンター1つを置く。

起動これの童話カウンター1つを取る：相手のリーダー1人か相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-101
BP03-102	翼の王子	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	5	4	5	鳥族・童話		"
進化コスト1：これは進化する。

ファンファーレ自分の墓場の童話・カード1枚を選ぶ。それをEXエリアに置く。それに童話カウンター1つを置いてよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-102
BP03-103	翼の王子	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		5	6	鳥族・童話		"
【指定攻撃】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-103
BP03-104	鳥飼いの使徒	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	4	5	4	信仰・鳥族		"
【守護】

ファンファーレアミュレット1つをアクト：『ホーリーファルコン』1体を出す。

―――――――――――――――

『ホーリーファルコン』ビショップ鳥族・フォロワーコスト3攻撃力2/体力2【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-104
BP03-105	アメシストレオ	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	2	1	信仰・獣		"
【疾走】

ファンファーレ自分の他の「【疾走】や【守護】を持つフォロワー」1体を選ぶ。それは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-105
BP03-106	ジュエルシュライン	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	BR	1			信仰		"
起動コスト1これをアクト：自分の「【疾走】や【守護】を持つフォロワー」1体を選ぶ。それは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-106
BP03-LD05	ミュースプリンセス・ユティ	ビショップ		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP03-LD05
BP04-098	白翼の守護神・アイテール	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	LG	7	3	5	信仰・先導・光輝		"
【守護】

ファンファーレ自分のデッキから「これと同名を除く、自分のPP最大値より低いコストのビショップフォロワー」1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-098
BP04-099	ダークジャンヌ	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	LG	6	5	5	狂信		"
進化コスト1：これは進化する。

ファンファーレ他のフォロワーすべてに2ダメージ。自分の他のフォロワーすべては攻撃力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-099
BP04-100	ダークジャンヌ	ビショップ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	LG		6	6	狂信		"
【進化時】自分のリーダーの体力5以上なら、相手のフォロワー1体を選ぶ。それとリーダーすべてに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-100
BP04-101	黄金都市の姫・リテュエル	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	GR	4	3	3	信仰・プリンセス		"
進化コスト1：これは進化する。

ファンファーレ自分のリーダーに2ダメージ。自分のデッキの上2枚を墓場に置く。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-101
BP04-102	黄金都市の姫・リテュエル	ビショップ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	GR		4	4	信仰・プリンセス		"
【進化時】相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-102
BP04-103	アンドロメダ	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	GR	1	2	2	星神・プリンセス		"
ファンファーレこのターン、自分のリーダーと自分のフォロワーすべては「能力によるダメージを受けない」を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-103
BP04-104	星導の天球儀	ビショップ		ブースターパック第4弾「天星神話」	アミュレット	GR	2			信仰・星神		"
ファンファーレ自分のデッキからアミュレット1枚を探し、手札に加える。

Q起動コスト2これをアクト墓場に置く：自分のリーダーは体力+1する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-104
BP04-105	漆黒のカリスマ	ビショップ		ブースターパック第4弾「天星神話」	アミュレット	GR	2			信仰・星神		"
ファンファーレ自分のデッキからアミュレット1枚を探し、手札に加える。

Q起動コスト2これをアクト墓場に置く：自分のリーダーは体力+1する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-105
BP04-106	スタープリーステス	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	SR	6	3	3	信仰・星神		"
進化アミュレット1つを消滅：これは進化する。

ファンファーレアミュレット2つをアクト：相手のフォロワー1体を選ぶ。それに3ダメージ。自分のリーダーは体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-106
BP04-107	スタープリーステス	ビショップ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	SR		4	4	信仰・星神		"
【進化時】自分の墓場のアミュレット1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-107
BP04-108	カリュドーン	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	SR	5	5	5	信仰・獣		"
【突進】

ターンごとに1回、自分のアミュレットが場を離れたとき、これは攻撃力+2/体力+2して、【指定攻撃】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-108
BP04-109	星の奔流	ビショップ		ブースターパック第4弾「天星神話」	スペル	SR	4			信仰・星神		"
クイック

アクト状態の相手のフォロワーすべてに3ダメージ。自分の場にアミュレットがあるなら、自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-109
BP04-110	星追いの精霊	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	BR	3	3	4	信仰・星神		"
ファンファーレアミュレット2つをアクト：2枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-110
BP04-111	パニッシュシスター	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	BR	2	2	3	狂信		"
ターンごとに1回、自分のアミュレットが場を離れたとき、相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-111
BP04-112	ミストシャーマン	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	BR	2	2	2	信仰		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-112
BP04-113	ミストシャーマン	ビショップ		ブースターパック第4弾「天星神話」	フォロワー・エボルヴ	BR		3	3	信仰		"
【進化時】自分の他のフォロワー1体を選ぶ。それは【オーラ】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-113
BP04-114	オクトパスビショップ	ビショップ		ブースターパック第4弾「天星神話」	フォロワー	BR	4	4	4	信仰・獣		"
【守護】

自分のエンドフェイズが来たとき、これは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-114
BP04-115	祈りの燭台	ビショップ		ブースターパック第4弾「天星神話」	アミュレット	BR	1			信仰		"
ターンごとに1回、自分の場に他のアミュレットが出たとき、自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP04-115
BP04-LD09	シャルル・ジ・ブリタニア	ビショップ		ブースターパック第4弾「天星神話」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP04-LD09
BP04-LD10	優しき敬虔・ロレーナ	ビショップ		ブースターパック第4弾「天星神話」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP04-LD10
BP05-086	安息の絶傑・マーウィン	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	LG	4	4	4	絶傑・狂信		"
進化コスト4：これは進化する。

進化次の自分のターンをスキップする：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-086
BP05-087	安息の絶傑・マーウィン	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	LG		8	8	絶傑・狂信		"
【守護】【オーラ】

【進化時】自分のPP最大値を+1する。自分のリーダーは体力+3する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-087
BP05-088	デウスエクスマキナ	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	LG	5	4	6	先導・超克		"
自分のエンドフェイズが来たとき、下記から1つチョイスする。【1】自分の手札すべてを捨てる。4枚引く。【2】自分のPPを4回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-088
BP05-089	安息の使徒	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー	GR	3	2	4	絶傑・狂信		"
進化コスト2：これは進化する。

相手のメインフェイズが来たとき、自分のPPを1回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-089
BP05-090	安息の使徒	ビショップ		ブースターパック第5弾「永劫なる絶傑」	フォロワー・エボルヴ	GR		3	5	絶傑・狂信		"
相手のメインフェイズが来たとき、自分のPPを2回復する。

【進化時】スタンド状態の相手の場のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP05-090
