cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-045	ルミナスナイト	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	3	1	指揮官		"
ファンファーレ自分の他のフォロワー1体を選ぶ。それは攻撃力+1する。

ラストワード自分のフォロワー1体を選ぶ。それは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-045
BP01-046	歴戦のランサー	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	3	兵士		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-046
BP01-047	ネイビールテナント	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	3	指揮官		"
ファンファーレ自分の他のフォロワー1体を選ぶ。それは【指定攻撃】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-047
BP01-048	ノーヴィストルーパー	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	3	3	兵士		"
【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-048
BP01-049	武装強化	ロイヤル		ブースターパック第1弾「創世の夜明け」	スペル	BR	2			兵士		"
クイック

自分のフォロワー1体を選ぶ。それは攻撃力+1/体力+1する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-049
BP01-050	猛襲	ロイヤル		ブースターパック第1弾「創世の夜明け」	スペル	BR	3			兵士		"
相手のフォロワー1体を選ぶ。それに5ダメージ。『ナイト』1枚をEXエリアに置く。

―――――――――――――――

『ナイト』ロイヤル兵士・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-050
BP01-LD03	エリカ	ロイヤル		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD03
BP01-LD04	爛漫の剣技・オーレリア	ロイヤル		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD04
BP01-T04	乙姫お守り隊	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	1	1	2	兵士		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T04
BP01-T05	ナイト	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	1	1	1	兵士					https://shadowverse-evolve.com/cardlist/?cardno=BP01-T05
BP01-T06	ヴァイキング	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	3	3	2	盗賊		"
【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T06
BP01-T07	スティールナイト	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	2	2	2	兵士					https://shadowverse-evolve.com/cardlist/?cardno=BP01-T07
BP02-018	レヴィオンセイバー・アルベール	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	4	3	5	指揮官・レヴィオン		"
進化コスト3：これは進化する。

【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-018
BP02-019	レヴィオンセイバー・アルベール	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		3	5	指揮官・レヴィオン		"
【疾走】

【攻撃時】これをスタンドする。この能力は1ターンに1回働く。

【進化時】このターン、これは交戦ダメージを受けない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-019
BP02-020	アレキサンダー	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	6	5	9	指揮官		"
【突進】【指定攻撃】

自分のターン中、これが交戦ダメージを与えたとき、これをスタンドする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-020
BP02-021	白銀の騎士・エミリア	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	4	3	3	指揮官		"
ファンファーレ下記から1つチョイスする。【1】自分の手札のコスト3以下のフォロワー1枚を選ぶ。それを場に出す。【2】相手のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-021
BP02-022	レオニダス	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	6	5	6	指揮官		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-022
BP02-023	レオニダス	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		6	7	指揮官		"
【進化時】相手のフォロワー1体を選ぶ。それとこれに5ダメージ。

ラストワード『レオニダスの遺志』1つを出す。

―――――――――――――――

『レオニダスの遺志』ロイヤル指揮官・アミュレットコスト8自分の場にロイヤルフォロワーが出たとき、それは攻撃力+3/体力+3して、【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-023
BP02-024	ホワイトパラディン	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	3	3	4	指揮官		"
【守護】

起動コスト2これをアクト：『シールドガーディアン』2体を出す。

―――――――――――――――

『シールドガーディアン』ロイヤル兵士・フォロワーコスト1攻撃力1/体力1【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-024
BP02-025	レヴィオンヴァンガード・ジェノ	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	3	3	3	兵士・レヴィオン		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-025
BP02-026	レヴィオンヴァンガード・ジェノ	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	SR		4	4	兵士・レヴィオン		"
【指定攻撃】

【進化時】自分のデッキの上4枚を見る。その中から「これと同名を除くレヴィオン・フォロワー」1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-026
BP02-027	レヴィオンデューク・ユリウス	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	SR	2	0	4	貴族・レヴィオン		"
Q起動これをアクト：相手のフォロワー1体を選ぶ。それに1ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-027
BP02-028	渾身の一振り	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	スペル	SR	2			兵士		"
クイック

相手のフォロワー1体を選ぶ。それに3ダメージ。『ナイト』1枚をEXエリアに置く。

―――――――――――――――

『ナイト』ロイヤル兵士・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-028
BP02-029	スウィフトペネトレーター	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	2	2	兵士		"
自分のフォロワーが進化したとき、これは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-029
BP02-030	サムライ	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	3	2	兵士		"
起動コスト3：これは【疾走】【必殺】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-030
BP02-031	アドバンスブレーダー	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	4	4	4	指揮官		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-031
BP02-032	アドバンスブレーダー	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	BR		5	5	指揮官		"
【進化時】自分のデッキから兵士・フォロワー2枚まで探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-032
BP02-033	フレイムソルジャー	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	3	3	3	兵士・ヒーロー		"
ファンファーレ相手のフォロワー1体を選ぶ。それに1ダメージ。このターン中に自分のフォロワーが破壊されていたなら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-033
BP02-034	ガンナーメイド・セリエ	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー	BR	2	1	3	兵士・メイド		"
ファンファーレ自分のデッキからプリンセス・フォロワー1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-034
BP02-LD02	おてんば王女・プリム	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP02-LD02
BP02-T02	シールドガーディアン	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	フォロワー・トークン	-	1	1	1	兵士		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-T02
BP02-T03	レオニダスの遺志	ロイヤル		ブースターパック第2弾「黒銀のバハムート」	アミュレット・トークン	-	8			指揮官		"
自分の場にロイヤルフォロワーが出たとき、それは攻撃力+3/体力+3して、【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-T03
BP03-018	シンデレラ	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	7	5	5	プリンセス・童話		"
【疾走】

【攻撃時】これの童話カウンター1つを取る：自分のデッキの上4枚を見る。その中から、コスト5以下のフォロワー1枚を場に出してよい。残りを墓場に置く。

ファンファーレ自分の場に他の童話・フォロワーがいるなら、これに童話カウンター1つを置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-018
BP03-019	目指せお嬢様・サロメ	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	7	5	5	プリンセス・童話		"
【疾走】

【攻撃時】これの童話カウンター1つを取る：自分のデッキの上4枚を見る。その中から、コスト5以下のフォロワー1枚を場に出してよい。残りを墓場に置く。

ファンファーレ自分の場に他の童話・フォロワーがいるなら、これに童話カウンター1つを置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-019
BP03-020	ヴァリアントフェンサー	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	LG	3	2	2	指揮官・ヒーロー		"
進化コスト1：これは進化する。この能力は自分の手札が2枚以下なら使える。

ファンファーレ自分のデッキから「これと同名を除くヒーロー・カード」1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-020
BP03-021	ヴァリアントフェンサー	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	LG		5	5	指揮官・ヒーロー		"
【進化時】進化を持つ自分のヒーロー・フォロワー1体を選ぶ。それは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-021
BP03-022	赤ずきん・メイジー	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	2	1	1	暗殺者・童話		"
ファンファーレ自分の場に他の童話・フォロワーがいるなら、これに童話カウンター1つを置く。

起動コスト1これをアクトこれの童話カウンター1つを取る：相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-022
BP03-023	スピアナイト・アミロス	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	GR	2	2	2	兵士・ヒーロー		"
進化コスト3：これは進化する。

【攻撃時】自分の場に他のヒーロー・フォロワーがいるなら、これは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-023
BP03-024	スピアナイト・アミロス	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	GR		3	3	兵士・ヒーロー		"
【攻撃時】自分の場に他のヒーロー・フォロワーがいるなら、これは攻撃力+1/体力+1する。

【進化時】自分の墓場のヒーロー・カード1枚を選ぶ。それのコストを0にしてプレイする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-024
BP03-025	天空城	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	GR	2			指揮官		"
ファンファーレ自分のデッキから【疾走】を持つフォロワー1枚を探し、手札に加える。

起動これをアクト墓場に置く：【疾走】を持つ自分のフォロワー1体を選ぶ。それは攻撃力+1する。

起動コスト10これをアクト墓場に置く：自分の手札の【疾走】を持つフォロワーを好きな枚数場に出してよい。それは攻撃力+2/体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-025
BP03-026	お天空城	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	アミュレット	GR	2			指揮官		"
ファンファーレ自分のデッキから【疾走】を持つフォロワー1枚を探し、手札に加える。

起動これをアクト墓場に置く：【疾走】を持つ自分のフォロワー1体を選ぶ。それは攻撃力+1する。

起動コスト10これをアクト墓場に置く：自分の手札の【疾走】を持つフォロワーを好きな枚数場に出してよい。それは攻撃力+2/体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-026
BP03-027	若き鬼狩人・モモ	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	4	5	5	兵士・童話		"
【指定攻撃】

【攻撃時】体力5以下のフォロワーへの攻撃なら、1枚引く。自分の手札1枚を捨てる。

ファンファーレ自分の場に他の童話・フォロワーがいるなら、これは【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-027
BP03-028	マッハナイト	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	SR	3	3	3	兵士・ヒーロー		"
進化コスト1：これは進化する。

ファンファーレこれが手札以外から場に出ていたなら、これは【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-028
BP03-029	マッハナイト	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	SR		4	4	兵士・ヒーロー		"
【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。自分の墓場のヒーロー・カードが2枚以上なら、代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-029
BP03-030	プリンセスキス	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	SR	1			プリンセス・童話		"
これをプレイする際、自分の場にプリンセス・フォロワーがいるなら、コストを-1する。

下記から1つチョイスする。【1】自分のフォロワー1体を選ぶ。それは攻撃力+1する。それに童話カウンター1つを置いてよい。【2】自分の墓場のロイヤルフォロワー3枚まで選ぶ。それをデッキに戻し、シャッフルする。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-030
BP03-031	おプリンセスキス	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	SR	1			プリンセス・童話		"
これをプレイする際、自分の場にプリンセス・フォロワーがいるなら、コストを-1する。

下記から1つチョイスする。【1】自分のフォロワー1体を選ぶ。それは攻撃力+1する。それに童話カウンター1つを置いてよい。【2】自分の墓場のロイヤルフォロワー3枚まで選ぶ。それをデッキに戻し、シャッフルする。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-031
BP03-032	兎耳の従者	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	3	3	4	童話		"
ファンファーレ自分の場に他の童話・フォロワーがいるなら、1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-032
BP03-033	お爺さんとお婆さん	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	1	1	2	兵士・童話		"
【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-033
BP03-034	刃ネズミ	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	2	1	3	獣・童話		"
進化コスト2：これは進化する。

自分のターン中、相手のフォロワーが破壊されたとき、これは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-034
BP03-035	刃ネズミ	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー・エボルヴ	BR		2	4	獣・童話		"
自分のターン中、相手のフォロワーが破壊されたとき、これは攻撃力+1する。

【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-035
BP03-036	鉄壁のガードナー	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	フォロワー	BR	1	2	2	兵士・ヒーロー		"
ファンファーレ自分の墓場のヒーロー・カードが2枚以上なら、これは体力+1して、【守護】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-036
BP03-037	ヒロイックエントリー！	ロイヤル		ブースターパック第3弾「FLAME OF LAEVATEINN / フレイム・オブ・レーヴァテイン」	スペル	BR	3			兵士・ヒーロー		"
自分のデッキの上4枚を見る。その中から、コスト3以下のロイヤルフォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。それがヒーロー・フォロワーなら、それは攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP03-037
